id,url,visit_time,from_visit,transition,segment_id,visit_duration,incremented_omnibox_typed_score,opener_visit,originator_cache_guid,originator_visit_id,originator_from_visit,originator_opener_visit,is_known_to_sync,consider_for_ntp_most_visited
1,1,13333621147789916,0,838860805,0,0,0,0,,0,0,0,0,1
2,2,13333621151549985,0,805306368,0,36924,0,1,,0,0,0,0,1
3,1,13333621151582238,0,805306368,0,1482065,0,2,,0,0,0,0,1
4,3,13333621153047844,3,268435456,0,0,0,0,,0,0,0,0,1
5,4,13333621153047844,4,-2147483648,0,0,0,0,,0,0,0,0,1
6,5,13333621153047844,5,-2147483648,0,0,0,0,,0,0,0,0,1
7,5,13333621153047844,6,-1610612736,0,26345052,0,0,,0,0,0,0,1
8,6,13333621179377121,7,805306368,0,0,0,0,,0,0,0,0,1
9,7,13333626196940335,0,268435462,0,0,0,0,,0,0,0,0,1
10,8,13333626196940335,9,-2147483642,0,0,0,0,,0,0,0,0,1
11,9,13333626196940335,10,-1610612730,0,5000000,0,0,,0,0,0,0,1
